~id,product_item:String,product_line:String,product_desc:String,~label
5067-1513,2000,UF,RNA 6000 Pico kit,product
G2938-80024,2040,UF,Reagents RNA Pico,product
AR17992-2,6004,PT,Artisan Ret/Nuc Fast Red Stain Kit,product
AR1799A-2,6014,PT,"Artisan Ret/Nuc Fast Red Stain Kit, Box",product
AR1799B-2,6024,PT,"Artisan Ret/Nuc Fast Red Stain Kit, Box",product
AR41030-7,6034,PT,"Artisan - Slide clips, 50 per Box",product
AR1581C-2,40014,PT,Artisan Iron Stain Kit,product
AR41030-7,40024,PT,"Artisan - Slide clips, 50 per Box",product
GV80511-2,39004,PT,EnV FLEX TRS Low pH (50x) (Dako Omnis),product
AR15811-2,40004,PT,Artisan Iron Stain Kit,product
17311-001,1240,V1,"Bravo, Orbital Shaking Station, 115V",product
G5536-60003,1230,V1,PCR Plate Insert,product
G5406-90001,1220,V1,Pump Module Users Guide,product
09354-001,1210,V1,Pump Module Tubing Kit,product
G5498-64100,1200,V1,Pump Module 2.0,product
16890-001,1190,V1,Standard Deck Plate Pad for Bravo,product
G5880-64009,1180,V1,CPU LSSD Automation Laptop Kit,product
G5412-60031,1170,V1,Pipette Tip Sampler,product
G5563-90002,1160,V1,Bravo Platform Safety and Install Guide,product
8121-0008,1150,V1,Cable-Assembly Patch Cord 24AWG 8-Conduc,product
G5500-90015,1140,V1,Automation Solutions General Safety Guid,product
G5410-60037,1130,V1,"E-Stop, Automation Instruments",product
G5409-20025,1120,V1,96AM Cartridge + Tip Seating Station,product
G5409-20047,1110,V1,Bravo Plate Riser-2.84 cm,product
G5496-60050,1100,V1,AssayMAP Syringe Test Kit,product
G5496-60009,1090,V1,"AssayMAP Cartridge Rack, Resin Free",product
G5593-60016,1080,V1,"iKit, Bravo, 146 mm Risers",product
G5505-20007,1070,V1,Custom Plate Nest for CPAC Ultraflat,product
20071-001,1060,V1,CPAC Ultraflat Heated Cooled Deck Pad,product
11961-311,1050,V1,96AM Tip Wash Station,product
G5542-64100,1040,V1,96 Channel AM Disposable Tip Head,product
G5559-64000,1030,V1,Protein Sample Prep Workbench SW Kit,product
G5428-64000,1020,V1,VWorks Software kit,product
G5563-64102,1010,V1,Bravo Liquid Handling Platform w/Gripper,product
G5571AA,1000,V1,AssayMAP Bravo,product
06124-001,1250,V1,5 Liter Heavy Duty Bottle and Cap,product
G5523-64101,1260,V1,"Light Curtain, Standard, Bravo, Asm",product
8121-1031,1270,V1,"Power Cord, US, C5,125V, 7A 498G Plug",product
8120-1378,1280,V1,Cable Assembly-Power Cord 18AWG 2.3m-LG,product
UP_FRONT_SERVICE_H,1290,74,Up Front Support Services for Hardware,product
H1141H,1300,74,Installation (44K),product
H1142H,1310,74,Familiarization at Installation (44L),product
G5055A,3000,V1,96 Channel Disposable Tip Head; LT,product
G5523-64106,3010,V1,96 Channel Disposable Tip Head; LT,product
UP_FRONT_SERVICE_H,3020,74,Up Front Support Services for Hardware,product
H1141H,3030,74,Installation (44K),product
H1142H,3040,74,Familiarization at Installation (44L),product
H7864A,5000,V1,Professional Services; Prepaid,product
G9820-80000,4000,58,"Deuterium UV lamp,Cary 100/300 UV, 1/pk",product
18789-80070,3000,AA,Buse courte faible diamètre 0.76mm,product
5023-0271,2000,58,"Frittés 0,3u p/ filtre en ligne 1290 (5)",product
123-1065E,1000,JW,"DB-1 60 m, 0,32 mm, 5 um, touret 5",product
5023-0271,1000,58,"Frit for 1290 Inline Filter, 0.3um, 5/pk",product
IDP3TS,2000,9H,IDP3 SOLID TIP SEAL KIT,product
REPLSLRFILTER,1000,9H,"FILTER ELEMENT, EXHAUST MUFFLER",product
G2938-80023,1020,UF,Reagents RNA Nano,product
G2938-80038,1030,UF,RNA 6000 Nano ladder,product
5067-1529,2000,UF,RNA 6000 Nano ladder,product
5065-9940,1010,UF,Pre-packed Tubes for RNA-Assays,product
G2938-90037,1050,UF,Quick Guide RNA 6000 Nano Kit,product
G2938-80038,2010,UF,RNA 6000 Nano ladder,product
G2938-90402,1040,UF,2100 MSDS Link Tech Note ENG,product
G2938-90402,2020,UF,2100 MSDS Link Tech Note ENG,product
5067-1512,1000,UF,RNA 6000 Nano reagents,product
L6380301,1000,9H,"TERMINAL STRIP,480V,,32,35 T7029848",product
G2519F,1000,GE,"AMADID diff libre, version GE 4x44K",product
G2534-60011,2000,GE,Ens. 5 supports 4 microarrays par lame,product
5188-5242,3000,GE,Gene Expression Hybridization Kit,product
5188-5242-A,3010,GE,Gene Expression Hybridization Kit,product
5973-1507,3020,GE,Product Insert for 5188-5242,product
200523,1000,SR,"Kit,QuikChange II site-directed 10 rxn",product
200523-5,1010,SR,-20 QUICKCHANGE II 10 RXNS,product
200519-4,1020,SR,-80 10rxn Quikchange Parts,product
H1151H,310340,74,Training (44P),product
H1172H,310350,74,1YR PC Repair Recovery Service (0TP),product
G3391A,312000,BZ,Site Preparation Package,product
G3170-64001,312010,BZ,English Site Prep Kit,product
G1033B,320000,BZ,NIST 2017 MS Library Bundle,product
G1033-64001,320010,BZ,G1033B Software,product
G3440B,330000,AZ,Agilent 7890B Series GC Custom,product
G3440B-US,330010,AZ,7890B Network GC System Custom,product
G1530-80650,330030,AZ,Exhaust deflector assy,product
G3470-60502,330040,AZ,7890 Aux EPC Restrictor Kit,product
G3510-67001,330080,AZ,MMI LN2 Noise Reduction Kit,product
G3430-60585,330050,AZ,7890 MSD Interface Kit,product
0100-0090,330060,AZ,"Tee, 1/8 inch Brass",product
G3186-64002,330070,AZ,Backflush-Ready Option Ship Kit,product
G3430-90055,330090,AZ,7890 Series GC Getting Started Guide,product
G7077-60502,310080,BZ,MSD Ship Kit,product
G7003-60502,310060,BZ,TQ Shipping Kit,product
G7000-60500,310050,BZ,Ship Kit Vacuum Pump for RV5,product
19199M,340000,58,Install Kit for GCs w/out Gas Purifiers,product
CP17988,330100,AZ,Gas Clean Carrier Gas Kit for 7890,product
G3510-60820,330110,AZ,Multi Mode Inlet Cleaning Kit,product
G4600-64400,330120,AZ,GC and GCMS eFamiliarization SW kit,product
8121-0075,330130,AZ,"Power Cord, US 240V, C19, 15 amp",product
UP_FRONT_SERVICE_H,330140,74,Up Front Support Services for Hardware,product
H1147H,310330,74,1 Year SW Update/Phone Assist     (44W),product
G1680-63720,310210,BZ,USB 2.0 Cable (10 ft.),product
G1030-64002,310250,BZ,Backup Solution Bndl w/Blank Media,product
G7003-64002,310220,BZ,"7000 Series HWR User Info Kit, ENG",product
G1680-63540,310190,BZ,21.5 inch Widescreen LCD Monitor,product
G1680-63ABA,310180,BZ,English Keyboard,product
G1680-64560,310170,BZ,CPU Kit High End-7000 Series ENG,product
G1680-63359,310200,BZ,LaserJet Printer - 115V,product
393065201,310150,BZ,1pg/ul OFN_5pg/ul BZP,product
5190-0585,310140,BZ,10 fg/uL OFN GC/MS Checkout std 3 x 1mL,product
